 Total battles: 1200110
 Avg. weight/team: 0.003
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Flutter Mane       | 49.03383% | 859715 | 35.818% | 409101 | 37.602% | 
 | 2    | Urshifu-Rapid-Strike | 48.97556% | 880087 | 36.667% | 468916 | 43.100% | 
 | 3    | Tornadus           | 32.57582% | 807261 | 33.633% | 236568 | 21.744% | 
 | 4    | Amoonguss          | 31.26551% | 632050 | 26.333% | 246209 | 22.630% | 
 | 5    | Chien-Pao          | 30.15355% | 478643 | 19.942% | 244948 | 22.514% | 
 | 6    | Heatran            | 29.74608% | 525501 | 21.894% | 246715 | 22.677% | 
 | 7    | Landorus-Therian   | 26.52714% | 460605 | 19.190% | 232572 | 21.377% | 
 | 8    | Cresselia          | 23.75665% | 549665 | 22.901% | 211924 | 19.479% | 
 | 9    | Rillaboom          | 22.89070% | 484744 | 20.196% | 236384 | 21.727% | 
 | 10   | Dragonite          | 18.93566% | 286018 | 11.916% | 138713 | 12.750% | 
 | 11   | Ursaluna           | 18.84300% | 519087 | 21.627% | 285293 | 26.223% | 
 | 12   | Iron Hands         | 17.86378% | 308306 | 12.845% | 171702 | 15.782% | 
 | 13   | Gholdengo          | 12.44895% | 178314 |  7.429% | 82377  |  7.572% | 
 | 14   | Regieleki          | 11.84415% | 339065 | 14.126% | 132123 | 12.144% | 
 | 15   | Chi-Yu             | 11.46349% | 260590 | 10.857% | 117478 | 10.798% | 
 | 16   | Thundurus          | 10.21401% | 240468 | 10.019% | 86996  |  7.996% | 
 | 17   | Iron Bundle        |  9.76891% | 231546 |  9.647% | 103925 |  9.552% | 
 | 18   | Urshifu            |  9.56383% | 221937 |  9.247% | 123907 | 11.389% | 
 | 19   | Goodra-Hisui       |  9.21984% | 248240 | 10.342% | 121930 | 11.207% | 
 | 20   | Indeedee-F         |  6.89768% | 193271 |  8.052% | 76243  |  7.008% | 
 | 21   | Basculegion        |  6.35371% | 170392 |  7.099% | 92477  |  8.500% | 
 | 22   | Torkoal            |  6.35341% | 209209 |  8.716% | 110953 | 10.198% | 
 | 23   | Regidrago          |  5.93283% | 98237  |  4.093% | 52269  |  4.804% | 
 | 24   | Grimmsnarl         |  5.58531% | 183808 |  7.658% | 81167  |  7.460% | 
 | 25   | Ting-Lu            |  5.30212% | 114708 |  4.779% | 49308  |  4.532% | 
 | 26   | Kingambit          |  4.99803% | 105723 |  4.405% | 43627  |  4.010% | 
 | 27   | Enamorus-Therian   |  4.74553% | 103046 |  4.293% | 51812  |  4.762% | 
 | 28   | Pelipper           |  4.68851% | 110853 |  4.618% | 49109  |  4.514% | 
 | 29   | Maushold           |  4.32759% | 100680 |  4.195% | 39892  |  3.667% | 
 | 30   | Zapdos             |  4.02741% | 96626  |  4.026% | 38886  |  3.574% | 
 | 31   | Armarouge          |  3.93113% | 98762  |  4.115% | 46497  |  4.274% | 
 | 32   | Arcanine-Hisui     |  3.89183% | 92754  |  3.864% | 46876  |  4.309% | 
 | 33   | Landorus           |  3.71531% | 104015 |  4.334% | 47754  |  4.389% | 
 | 34   | Abomasnow          |  3.66623% | 70385  |  2.932% | 34982  |  3.215% | 
 | 35   | Annihilape         |  3.64531% | 133057 |  5.544% | 66726  |  6.133% | 
 | 36   | Moltres-Galar      |  3.60211% | 133323 |  5.555% | 57278  |  5.265% | 
 | 37   | Sneasler           |  3.57246% | 145633 |  6.067% | 70098  |  6.443% | 
 | 38   | Lilligant-Hisui    |  3.47800% | 106854 |  4.452% | 39378  |  3.619% | 
 | 39   | Arcanine           |  3.44386% | 119798 |  4.991% | 50908  |  4.679% | 
 | 40   | Baxcalibur         |  3.12295% | 75897  |  3.162% | 37837  |  3.478% | 
 | 41   | Enamorus           |  3.10634% | 122740 |  5.114% | 59036  |  5.426% | 
 | 42   | Palafin            |  2.79521% | 83521  |  3.480% | 44310  |  4.073% | 
 | 43   | Mimikyu            |  2.68636% | 42188  |  1.758% | 16487  |  1.515% | 
 | 44   | Kleavor            |  2.68497% | 86172  |  3.590% | 37147  |  3.414% | 
 | 45   | Gastrodon          |  2.68385% | 94954  |  3.956% | 42244  |  3.883% | 
 | 46   | Glastrier          |  2.65695% | 94358  |  3.931% | 49327  |  4.534% | 
 | 47   | Roaring Moon       |  2.58622% | 42846  |  1.785% | 17392  |  1.599% | 
 | 48   | Dondozo            |  2.46328% | 53683  |  2.237% | 29246  |  2.688% | 
 | 49   | Tatsugiri          |  2.34536% | 50250  |  2.094% | 28895  |  2.656% | 
 | 50   | Gyarados           |  2.32921% | 74853  |  3.119% | 34593  |  3.180% | 
 | 51   | Farigiraf          |  2.27877% | 68619  |  2.859% | 21393  |  1.966% | 
 | 52   | Bellibolt          |  2.16301% | 7929   |  0.330% | 3531   |  0.325% | 
 | 53   | Brute Bonnet       |  2.15182% | 37942  |  1.581% | 15335  |  1.410% | 
 | 54   | Hatterene          |  1.68109% | 59182  |  2.466% | 24655  |  2.266% | 
 | 55   | Scizor             |  1.67967% | 53592  |  2.233% | 24000  |  2.206% | 
 | 56   | Great Tusk         |  1.60349% | 48532  |  2.022% | 22246  |  2.045% | 
 | 57   | Azumarill          |  1.59325% | 52362  |  2.182% | 27299  |  2.509% | 
 | 58   | Bruxish            |  1.40189% | 5845   |  0.244% | 2219   |  0.204% | 
 | 59   | Thundurus-Therian  |  1.39905% | 56952  |  2.373% | 27777  |  2.553% | 
 | 60   | Volcarona          |  1.32915% | 44758  |  1.865% | 18980  |  1.745% | 
 | 61   | Garchomp           |  1.21480% | 46764  |  1.948% | 22178  |  2.038% | 
